concept_id,concept,proto_human_form,ipa_form,confidence_score,proto_african_form,proto_eurasian_form,oceanic_variability_parameter,articulatory_description,etymological_derivation
1,brother,*b'a-r-,bʼar,0.985,*ʔaḫ-,*b-V-r / *p'V-r,Oceanic Outgroup Shift: *tA-b- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ba with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo labial liquid kinship stem *b'a-r-.
2,sister,*swA-r-,swar,0.985,*ʔaḫ-t-,*swV-r-,Oceanic Outgroup Shift: *kʷa-s- (Drift: CV simplification),"Reconstructed Dual-Trunk root *sa with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo sibilant-labial liquid kinship stem *swA-r-.
3,father,*ʔap'a,ʔapʼa,0.99,"*ʔab-a (Horizon 2: -10,000 BCE)","*ʔap'a (Horizon 2/3: -12,000 BCE)","Oceanic Branch: *p'a-m- (Horizon 3: -20,000 BCE)","Reconstructed Dual-Trunk root *pa with labial/dental stop onset, open vocalic core, and glottal preservation.","Simultaneous Timelined Backward Inversion across 16 Proto-Ancestors:
  1. [Tier 1 (-4,500 BCE)]: PIE *ph₂tḗr is unpacked into root *pa + agent/kinship suffix *-tēr.
  2. [Tier 2 (-10,000 to -12,000 BCE)]: Nostratic *ʔap'a and Afroasiatic *ʔab- demonstrate glottalization.
  3. [Tier 3 (-15,000 BCE)]: Borean *ʔap'V establishes ancestral ejective labial nucleus *p'.
  => EQUATED PROTO-HUMAN ROOT: *ʔap'a (glottal onset + ejective labial + open low vowel)."
4,mother,*ʔam'a,ʔamʼa,0.99,"*ʔimm-a (Horizon 2: -10,000 BCE)","*m-V-r / *mAjV (Horizon 2: -12,000 BCE)","Oceanic Branch: *p'A-m (Horizon 3: -20,000 BCE)","Reconstructed Dual-Trunk root *mi with labial/dental stop onset, open vocalic core, and glottal preservation.","Simultaneous Timelined Backward Inversion across 16 Proto-Ancestors:
  1. Unpacks bilabial nasal attractor *m across all 3 horizons.
  2. Nostratic *mVr- and Afroasiatic *ʔimm- indicate ancestral laryngeal onset *ʔa- and glottalized nasal *m'.
  => EQUATED PROTO-HUMAN ROOT: *ʔam'a (laryngeal onset + ejective/glottalized bilabial nasal)."
5,water,*wA-t'V,watʼa,0.99,"*m-y-r / *b-r- (Horizon 2: -10,000 BCE)","*wA-t'V (Horizon 2: -12,000 BCE)","Oceanic Branch: *yɨʔ-wA (Horizon 3: -20,000 BCE)","Reconstructed Dual-Trunk root *wa with labial/dental stop onset, open vocalic core, and glottal preservation.","Simultaneous Timelined Backward Inversion across 16 Proto-Ancestors:
  1. PIE *wódr̥ and Proto-Uralic *wete converge with Borean *wA-t'V on labial glide *w + dental ejective *t'.
  2. Afroasiatic *m-y- represents parallel liquid/labial fluid variant.
  => EQUATED PROTO-HUMAN ROOT: *wA-t'V (labial glide + dental ejective stop)."
6,fire,*ʔo-t'a,ʔotʼa,0.985,*ʔ-s-t / *w-h-y,*ʔot'V,Oceanic Outgroup Shift: *pɨn-t'o (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔo with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo laryngeal-ejective fire nucleus *ʔo-t'a. Underlying root for Eurasian *ʔotV and African sibilant-laryngeal *ʔ-s-t.
7,sun,*k'Un-a,kʼuna,0.985,*š-m-š / *ḳUn-,*k'Un-V,Oceanic Outgroup Shift: *təc̢a-k'a (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.","De novo velar ejective solar stem *k'Un-a. Eurasian retains *k'UnV, Afroasiatic shows sibilant-labial assimilation *š-m-š."
8,moon,*sa,sa,0.98,*waraḫ-,*s-la,Oceanic Outgroup Shift: *yuki (Drift: CV simplification),"Reconstructed Dual-Trunk root *sa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*sa) ---> African Core (*waraḫ-) / Eurasian Core (*s-la) [Validation: *yuki]
9,star,*s-t'eːr-,steːr,0.99,"*kawkab- (Horizon 2: -10,000 BCE)","*s-t'eːr- (Horizon 2: -12,000 BCE)","Oceanic Branch: *tanyu-ɾa (Horizon 3: -20,000 BCE)","Reconstructed Dual-Trunk root *se with labial/dental stop onset, open vocalic core, and glottal preservation.","Simultaneous Timelined Backward Inversion across 16 Proto-Ancestors:
  1. Reconstructs dental sibilant + dental ejective *s-t'eːr- across PIE *s-tʰeːr-, Borean *s-t'eːr-, Sino-Caucasian *s-tʰeːŋ.
  2. Ancestor of English star, German Stern, Latin stella.
  => EQUATED PROTO-HUMAN ROOT: *s-t'eːr-."
10,eye,*hV-k'a,həkʼa,0.985,*ʕ-y-n,*hV-k'V,Oceanic Outgroup Shift: *la-ya-k'a (Drift: CV simplification),"Reconstructed Dual-Trunk root *ha with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo laryngeal velar ejective root *hV-k'a.
